CODIGO,DESCRICAO
01062000,Animais vivos.Outros animais vivos.- Répteis (incluindo as serpentes e as tartarugas marinhas)
01063,Animais vivos.Outros animais vivos.- Aves:
01063100,Animais vivos.Outros animais vivos.- Aves:-- Aves de rapina
01063200,"Animais vivos.Outros animais vivos.- Aves:-- Psitaciformes (incluindo os papagaios, os periquitos, as araras e as catatuas)"
010633,Animais vivos.Outros animais vivos.- Aves:-- Avestruzes; emus (Dromaius novaehollandiae)
01063310,"Animais vivos.Outros animais vivos.- Aves:-- Avestruzes; emus (Dromaius novaehollandiae) Avestruzes (Struthio camelus), para reprodução"
01063390,Animais vivos.Outros animais vivos.- Aves:-- Avestruzes; emus (Dromaius novaehollandiae) Outros
01063900,Animais vivos.Outros animais vivos.- Aves:-- Outras
01064,Animais vivos.Outros animais vivos.- Insetos:
01064100,Animais vivos.Outros animais vivos.- Insetos:-- Abelhas
01064900,Animais vivos.Outros animais vivos.- Insetos:-- Outros
01069000,Animais vivos.Outros animais vivos.- Outros
02,"Carnes e miudezas, comestíveis."
0201,"Carnes e miudezas, comestíveis.Carnes de animais da espécie bovina, frescas ou refrigeradas."
02011000,"Carnes e miudezas, comestíveis.Carnes de animais da espécie bovina, frescas ou refrigeradas.- Carcaças e meias-carcaças"
020120,"Carnes e miudezas, comestíveis.Carnes de animais da espécie bovina, frescas ou refrigeradas.- Outras peças não desossadas"
02012010,"Carnes e miudezas, comestíveis.Carnes de animais da espécie bovina, frescas ou refrigeradas.- Outras peças não desossadas Quartos dianteiros"
02012020,"Carnes e miudezas, comestíveis.Carnes de animais da espécie bovina, frescas ou refrigeradas.- Outras peças não desossadas Quartos traseiros"
02012090,"Carnes e miudezas, comestíveis.Carnes de animais da espécie bovina, frescas ou refrigeradas.- Outras peças não desossadas Outras"
02013000,"Carnes e miudezas, comestíveis.Carnes de animais da espécie bovina, frescas ou refrigeradas.- Desossadas"
0202,"Carnes e miudezas, comestíveis.Carnes de animais da espécie bovina, congeladas."
02021000,"Carnes e miudezas, comestíveis.Carnes de animais da espécie bovina, congeladas.- Carcaças e meias-carcaças"
020220,"Carnes e miudezas, comestíveis.Carnes de animais da espécie bovina, congeladas.- Outras peças não desossadas"
02022010,"Carnes e miudezas, comestíveis.Carnes de animais da espécie bovina, congeladas.- Outras peças não desossadas Quartos dianteiros"
02022020,"Carnes e miudezas, comestíveis.Carnes de animais da espécie bovina, congeladas.- Outras peças não desossadas Quartos traseiros"
02022090,"Carnes e miudezas, comestíveis.Carnes de animais da espécie bovina, congeladas.- Outras peças não desossadas Outras"
02023000,"Carnes e miudezas, comestíveis.Carnes de animais da espécie bovina, congeladas.- Desossadas"
0203,"Carnes e miudezas, comestíveis.Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas."
02031,"Carnes e miudezas, comestíveis.Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas.- Frescas ou refrigeradas:"
02031100,"Carnes e miudezas, comestíveis.Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas.- Frescas ou refrigeradas:-- Carcaças e meias-carcaças"
02031200,"Carnes e miudezas, comestíveis.Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas.- Frescas ou refrigeradas:-- Pernas, pás e respectivos pedaços, não desossados"
02031900,"Carnes e miudezas, comestíveis.Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas.- Frescas ou refrigeradas:-- Outras"
